"","Nombre","PC","PP"
"1","the lion king 2019","
                    55
                ","
                    89
                "
"2","the art of self defense 2019","
                    83
                ","
                    73
                "
"3","rosie 2019","
                    97
                ","
                    97
                "
"4","luz","
                    89
                ","
                    89
                "
"5","a faithful man","
                    70
                ","
                    70
                "
"6","spider man far from home","
                    90
                ","
                    96
                "
"7","toy story 4","
                    98
                ","
                    94
                "
"8","crawl 2019","
                    84
                ","
                    77
                "
"9","stuber","
                    43
                ","
                    80
                "
"10","yesterday 2019","
                    63
                ","
                    89
                "
"11","aladdin","
                    56
                ","
                    94
                "
"12","annabelle comes home","
                    64
                ","
                    70
                "
"13","midsommar","
                    82
                ","
                    61
                "
"14","the secret life of pets 2","
                    59
                ","
                    90
                "
"15","men in black international","
                    22
                ","
                    66
                "
"16","once upon a time in hollywood","
                    92
                ","
                    92
                "
"17","skin 2019","
                    86
                ","
                    86
                "
"18","the mountain 2019","
                    58
                ","
                    58
                "
"19","jirga","
                    77
                ","
                    82
                "
"20","honeyland","
                    100
                ","
                    100
                "
"21","shazam","
                    91
                ","
                    85
                "
"22","ash is purest white","
                    99
                ","
                    73
                "
"23","little woods","
                    96
                ","
                    52
                "
"24","breakthrough 2019","
                    59
                ","
                    83
                "
"25","teen spirit 2019","
                    72
                ","
                    66
                "
